step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.79938,0.40541,,
2,2.66213,0.44444,,
3,2.67861,0.5,,
4,2.55861,0.44444,,
5,2.36861,0.50725,,
6,2.99794,0.39474,,
7,2.6463,0.4,,
8,2.5174,0.52381,,
9,2.40548,0.51282,,
10,2.60396,0.44737,,
11,2.84751,0.44186,,
12,2.59823,0.47222,,
13,2.67181,0.4359,,
14,2.41081,0.45,,
15,2.68048,0.4359,,
16,1.81552,0.5814,,
17,2.4927,0.46512,,
18,2.38147,0.43902,,
19,2.45211,0.475,,
20,2.47836,0.46512,,
21,2.15802,0.475,,
22,2.16843,0.54054,,
23,2.32807,0.5,,
24,2.11972,0.57895,,
25,2.04099,0.41667,,
26,2.50036,0.45455,,
27,2.19722,0.54286,,
28,1.75988,0.6087,,
29,2.26075,0.51351,,
30,2.09338,0.46939,,
31,2.6573,0.5,,
32,2.26564,0.525,,
33,2.17817,0.5,,
34,2.21851,0.525,,
35,2.10518,0.5,,
36,2.1345,0.5,,
37,2.15786,0.52941,,
38,1.60368,0.61111,,
39,2.3042,0.47368,,
40,1.65317,0.6087,,
41,1.77371,0.60526,,
42,1.74519,0.55,,
43,1.67144,0.64103,,
44,1.79255,0.58333,,
45,1.60036,0.64706,,
46,1.92567,0.60526,,
47,1.58579,0.61538,,
48,1.5734,0.63934,,
49,1.59063,0.57895,,
50,1.35233,0.59524,,
51,1.52215,0.65957,,
52,1.18897,0.7193,,
53,1.4151,0.59259,,
54,1.44692,0.66667,,
55,1.25619,0.7381,,
56,0.99258,0.71429,,
57,1.47438,0.52381,,
58,0.96739,0.76316,,
59,1.55729,0.59091,,
60,1.03478,0.66667,,
61,1.2458,0.75,,
62,1.27495,0.71739,,
63,0.93539,0.74359,,
64,1.12694,0.7377,,
65,1.15617,0.78571,,
66,1.28128,0.70732,,
67,1.22889,0.70175,,
68,1.12053,0.65116,,
69,1.01275,0.72093,,
70,0.92686,0.69231,,
71,1.21996,0.62162,,
72,1.12797,0.73171,,
73,1.10184,0.71875,,
74,0.77199,0.775,,
75,1.29376,0.68,,
76,1.40122,0.65,,
77,0.58954,0.825,,
78,0.78062,0.82979,,
79,0.96634,0.78,,
80,1.00452,0.74468,,
81,1.39913,0.64865,,
82,0.76669,0.76364,,
83,1.27722,0.63043,,
84,0.90781,0.76316,,
85,1.1079,0.775,,
86,1.28841,0.62745,,
87,1.43997,0.68421,,
88,0.9303,0.77778,,
89,0.95187,0.80556,,
90,1.13434,0.75,,
91,1.02378,0.76923,,
92,1.15357,0.65,,
93,0.50591,0.825,,
94,1.09041,0.625,,
95,1.45033,0.58333,,
96,0.78445,0.8,,
97,1.11419,0.67568,,
98,0.53711,0.86486,,
99,0.72035,0.775,,
100,0.87853,0.78378,,
101,0.79658,0.80556,,
102,1.11536,0.68182,,
103,0.55234,0.84615,,
104,0.78718,0.74359,,
105,0.86883,0.71739,,
106,0.78673,0.75,,
107,0.93192,0.77778,,
108,0.84919,0.81395,,
109,0.74757,0.81081,,
110,0.48703,0.85,,
111,1.00854,0.675,,
112,0.9978,0.80556,,
113,0.97229,0.75,,
114,1.04203,0.83333,,
115,0.77326,0.73684,,
116,0.84822,0.71795,,
117,1.25285,0.74468,,
118,0.63741,0.85294,,
119,0.72871,0.85106,,
120,1.08029,0.6,,
121,0.85145,0.7931,,
122,0.83132,0.81081,,
123,0.90915,0.7027,,
124,1.03347,0.74576,,
125,0.87862,0.78378,,
126,0.70663,0.75676,,
127,0.95434,0.7,,
128,0.84278,0.7027,,
129,0.648,0.76087,,
130,0.98383,0.73469,,
131,0.92144,0.69048,,
132,0.84585,0.75,,
133,0.8896,0.75,,
134,0.80349,0.7,,
135,0.92511,0.76744,,
136,0.72899,0.78947,,
137,1.16244,0.775,,
138,0.67546,0.75,,
139,0.39068,0.92105,,
140,0.85199,0.75862,,
141,0.75395,0.76923,,
142,0.80965,0.76316,,
143,1.30472,0.725,,
144,0.82415,0.75439,,
145,0.6963,0.82051,,
146,1.15671,0.69811,,
147,0.65042,0.83784,,
148,0.96685,0.725,,
149,0.73566,0.76316,,
150,0.97314,0.7561,,
151,0.58129,0.86842,,
152,0.94724,0.72727,,
153,0.93313,0.725,,
154,0.74861,0.73684,,
155,0.60091,0.74359,,
156,0.98129,0.65789,,
157,1.12018,0.79545,,
158,0.65126,0.84615,,
159,0.97356,0.71429,,
160,0.7605,0.85714,,
